"","city","pop_2002","pop_2012"
"1","Arusha",333791,416442
"2","Babati",30975,57909
"3","Bagamoyo",28368,NA
"4","Bariadi",15462,NA
"5","Biharamulo",9585,11700
"6","Bomang'ombe (Hai)",17674,34098
"7","Bugarama",9248,NA
"8","Bukoba",59157,128796
"9","Bunda",40404,58390
"10","Buseresere",9202,NA
"11","Chake Chake",19283,27700
"12","Chala",9046,NA
"13","Chalinze",10469,NA
"14","Chato",13540,NA
"15","Chiwezi",NA,14176
"16","Dakawa",7537,NA
"17","Dar es Salaam",2339910,4364541
"18","Diobahika",10616,NA
"19","Dodoma",150604,213636
"20","Dumila",9650,NA
"21","Gairo",16982,22948
"22","Geita",39562,99795
"23","Handeni (Chanika)",14057,79056
"24","Hedaru",14179,NA
"25","Ifakara",41606,NA
"26","Igunga",15553,NA
"27","Igurusi",7635,NA
"28","Ikwiriri",22441,NA
"29","Ilula",17065,NA
"30","Iringa",102208,151345
"31","Isagehe (Sangilwa)",10909,NA
"32","Itigi",14362,NA
"33","Kahama",33957,95087
"34","Karatu",9437,14843
"35","Kasamwa",8739,NA
"36","Kasulu",33452,67704
"37","Katesh",9093,16317
"38","Katoro",13458,NA
"39","Kibaha",42503,128488
"40","Kibaigwa",10004,NA
"41","Kibaoni",7868,NA
"42","Kibiti",11395,NA
"43","Kibondo",13241,NA
"44","Kidodi-Kidatu",38486,NA
"45","Kigoma",131792,215458
"46","Kihurio",8072,NA
"47","Kilindoni",9463,12141
"48","Kilosa",26060,34425
"49","Kilwa Masoko",8339,13601
"50","Kimamba",10537,12046
"51","Kiomboi",11350,NA
"52","Kirando",9936,NA
"53","Kisarawe",7603,NA
"54","Kisesa",10179,NA
"55","Kitama (Lilombe)",8413,NA
"56","Kondoa",20426,27383
"57","Korogwe",26601,56282
"58","Kyela",17602,47389
"59","Laela",9745,NA
"60","Lindi",29178,78841
"61","Liwale",14096,13378
"62","Lushoto",9834,28190
"63","Mafinga",16612,51902
"64","Magu",17638,23822
"65","Mahuta",9460,NA
"66","Makambako",35919,57288
"67","Makongorosi",6945,18116
"68","Makuyuni",9355,16308
"69","Mang'ula",12083,NA
"70","Manyoni",16645,NA
"71","Maposeni",8201,NA
"72","Maramba",7732,NA
"73","Masasi",34034,58314
"74","Masumbwe (Marongwe)",10791,NA
"75","Matongo",8118,NA
"76","Mbeya",232596,385279
"77","Mbinga",15359,NA
"78","Mbuguni",37109,27071
"79","Mbulu",12137,36408
"80","Mikumi",11778,NA
"81","Misungwi",12127,NA
"82","Mlandizi",17324,NA
"83","Mlimba",13740,NA
"84","Mlowo",4498,21600
"85","Mnyuzi",9542,NA
"86","Monduli",8815,NA
"87","Morogoro",209058,305840
"88","Moshi",143799,184292
"89","Mpanda",44533,81540
"90","Mpwapwa",18992,NA
"91","Mtama",8503,NA
"92","Mto wa Mbu",9320,NA
"93","Mtwara",79277,100626
"94","Mugumu",12549,16851
"95","Muheza",22604,12839
"96","Musoma",104851,134327
"97","Mvomero (Mtibwa)",12576,NA
"98","Mvumi Mission",8875,NA
"99","Mwanga",12329,NA
"100","Mwanhuzi (Meatu)",6825,12372
"101","Mwanza",385810,706453
"102","Nachingwea",18810,25220
"103","Namanyere",15638,38362
"104","Nangomba",8004,NA
"105","Nansio",28341,NA
"106","Nanyamba",9872,NA
"107","Narunyu",9394,NA
"108","Ndanda",9234,NA
"109","Ndungu",8725,NA
"110","Newala",16910,NA
"111","Ngudu",12324,27630
"112","Nguruka",20413,NA
"113","Njombe",34630,64122
"114","Nkome",15443,NA
"115","Nungwi",NA,10392
"116","Nyalikungu (Maswa)",17384,NA
"117","Nzega",24113,34744
"118","Pongwe",7680,NA
"119","Ruangwa",9605,13421
"120","Rujewa",9413,29473
"121","Same",16819,25794
"122","Sanya Juu",NA,11283
"123","Sengerema",38424,76914
"124","Shinyanga",73921,103795
"125","Shirati",9794,NA
"126","Sikonge",9506,9331
"127","Singida",57904,85242
"128","Sirari",16795,NA
"129","Songea",98683,203309
"130","Sumbawanga",74890,124204
"131","Tabora",126089,160608
"132","Tandahimba",10713,NA
"133","Tanga",172557,221127
"134","Tarakea",9569,NA
"135","Tarime",36122,NA
"136","Tukuyu",15856,41676
"137","Tunduma",28237,97562
"138","Tunduru",24512,30761
"139","Turiani",7841,NA
"140","Ubaruku",12685,NA
"141","Urambo",18913,29367
"142","Usa River",13542,NA
"143","Ushirombo",16016,NA
"144","Utengule",30816,NA
"145","Vikindu",7640,NA
"146","Vwawa",19298,56256
"147","Wete",24983,31872
"148","Zanzibar",320701,501459
